execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-port-scanner-tcp-malicioso-r10,port-scanner-tcp,scan,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r10,port-scanner-tcp,scan,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r10,port-scanner-tcp,scan,malicioso,zeek,2023,1956,0,nao-mapeado;scan,TP,scan
campanha02-sql-injection-malicioso-r06,sql-injection,sqli,malicioso,suricata,1328,2,1326,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r06,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r06,sql-injection,sqli,malicioso,zeek,74,2,72,scan;sqli;xss,TP,sqli
campanha02-benigno-http-benigno-r12,benigno-http,http,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r12,benigno-http,http,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r12,benigno-http,http,benigno,zeek,0,0,0,-,TN,-
campanha02-sql-injection-malicioso-r04,sql-injection,sqli,malicioso,suricata,1339,2,1337,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r04,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r04,sql-injection,sqli,malicioso,zeek,5,2,3,sqli;xss,TP,sqli
campanha02-syn-flood-malicioso-r09,syn-flood,flood-syn,malicioso,suricata,2,2,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r09,syn-flood,flood-syn,malicioso,snort,307,307,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r09,syn-flood,flood-syn,malicioso,zeek,324,30,293,flood-syn;nao-mapeado;scan,TP,flood-syn
campanha02-benigno-http-benigno-r01,benigno-http,http,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r01,benigno-http,http,benigno,snort,0,0,0,-,TN,-
